    -755.589      84.578    -671.011       0.527
    -756.294      85.283    -671.011       0.531
    -756.991      85.980    -671.011       0.536
    -757.677      86.666    -671.011       0.540
    -758.351      87.340    -671.011       0.544
    -759.009      87.998    -671.011       0.548
    -759.650      88.639    -671.011       0.552
    -760.272      89.260    -671.012       0.556
    -760.871      89.860    -671.012       0.560
    -761.446      90.435    -671.012       0.563
    -761.995      90.983    -671.012       0.567
    -762.514      91.503    -671.012       0.570
    -763.003      91.991    -671.012       0.573
    -763.458      92.446    -671.012       0.576
    -763.878      92.865    -671.012       0.579
    -764.260      93.247    -671.012       0.581
    -764.602      93.590    -671.012       0.583
    -764.904      93.891    -671.013       0.585
    -765.164      94.151    -671.013       0.587
    -765.379      94.366    -671.013       0.588
    -765.549      94.536    -671.013       0.589
    -765.672      94.659    -671.013       0.590
    -765.747      94.734    -671.013       0.590
    -765.774      94.760    -671.014       0.590
    -765.750      94.737    -671.014       0.590
    -765.677      94.663    -671.014       0.590
    -765.553      94.539    -671.014       0.589
    -765.379      94.365    -671.014       0.588
    -765.155      94.141    -671.014       0.587
    -764.881      93.867    -671.014       0.585
    -764.558      93.544    -671.014       0.583
    -764.186      93.173    -671.013       0.581
    -763.768      92.754    -671.014       0.578
    -763.305      92.292    -671.014       0.575
    -762.799      91.786    -671.014       0.572
    -762.252      91.238    -671.014       0.568
    -761.666      90.652    -671.013       0.565
    -761.043      90.030    -671.013       0.561
    -760.388      89.375    -671.013       0.557
    -759.702      88.689    -671.013       0.553
    -758.990      87.977    -671.013       0.548
    -758.254      87.242    -671.012       0.544
    -757.500      86.488    -671.012       0.539
    -756.732      85.720    -671.012       0.534
    -755.952      84.940    -671.012       0.529
    -755.166      84.155    -671.012       0.524
    -754.379      83.367    -671.011       0.519
    -753.595      82.583    -671.011       0.515
    -752.817      81.806    -671.011       0.510
    -752.051      81.041    -671.011       0.505
    -751.301      80.291    -671.011       0.500
    -750.571      79.560    -671.010       0.496
    -749.864      78.854    -671.010       0.491
    -749.185      78.175    -671.010       0.487
    -748.536      77.526    -671.010       0.483
    -747.921      76.912    -671.009       0.479
    -747.344      76.335    -671.009       0.476
    -746.807      75.797    -671.009       0.472
    -746.311      75.302    -671.009       0.469
    -745.860      74.851    -671.009       0.466
    -745.455      74.446    -671.009       0.464
    -745.096      74.087    -671.009       0.462
    -744.785      73.776    -671.009       0.460
    -744.522      73.513    -671.009       0.458
    -744.307      73.298    -671.009       0.457
    -744.138      73.129    -671.009       0.456
    -744.017      73.008    -671.009       0.455
    -743.941      72.931    -671.009       0.454
    -743.908      72.899    -671.009       0.454
    -743.919      72.909    -671.009       0.454
    -743.970      72.960    -671.010       0.455
    -744.061      73.051    -671.010       0.455
    -744.188      73.178    -671.010       0.456
    -744.350      73.340    -671.010       0.457
    -744.545      73.535    -671.010       0.458
    -744.771      73.760    -671.011       0.460
    -745.024      74.013    -671.011       0.461
    -745.302      74.292    -671.011       0.463
    -745.604      74.593    -671.011       0.465
    -745.926      74.915    -671.011       0.467
    -746.267      75.255    -671.011       0.469
    -746.623      75.612    -671.012       0.471
    -746.994      75.982    -671.012       0.473
    -747.376      76.364    -671.012       0.476
    -747.769      76.757    -671.012       0.478
    -748.169      77.157    -671.012       0.481
    -748.576      77.564    -671.012       0.483
    -748.988      77.976    -671.012       0.486
    -749.404      78.392    -671.012       0.488
    -749.823      78.810    -671.012       0.491
    -750.243      79.230    -671.012       0.494
    -750.663      79.650    -671.012       0.496
    -751.082      80.070    -671.012       0.499
    -751.500      80.488    -671.012       0.501
    -751.917      80.904    -671.012       0.504
    -752.330      81.317    -671.012       0.507
    -752.740      81.727    -671.013       0.509
    -753.146      82.133    -671.013       0.512
    -753.548      82.535    -671.013       0.514
    -753.945      82.932    -671.013       0.517
    -754.337      83.324    -671.013       0.519
    -754.724      83.711    -671.013       0.522
    -755.105      84.092    -671.013       0.524
    -755.481      84.468    -671.013       0.526
    -755.851      84.838    -671.013       0.529
    -756.215      85.203    -671.013       0.531
    -756.574      85.562    -671.013       0.533
    -756.928      85.915    -671.013       0.535
    -757.275      86.262    -671.013       0.537
    -757.616      86.604    -671.012       0.540
    -757.952      86.940    -671.012       0.542
    -758.281      87.269    -671.013       0.544
    -758.604      87.591    -671.013       0.546
    -758.919      87.907    -671.013       0.548
    -759.228      88.215    -671.013       0.550
    -759.529      88.516    -671.013       0.552
    -759.823      88.810    -671.013       0.553
    -760.108      89.095    -671.013       0.555
    -760.384      89.372    -671.013       0.557
    -760.651      89.638    -671.013       0.558
    -760.907      89.895    -671.013       0.560
    -761.153      90.141    -671.013       0.562
    -761.389      90.376    -671.013       0.563
    -761.612      90.600    -671.013       0.564
    -761.824      90.811    -671.013       0.566
    -762.022      91.009    -671.013       0.567
    -762.207      91.194    -671.013       0.568
    -762.378      91.365    -671.013       0.569
    -762.533      91.520    -671.013       0.570
    -762.674      91.661    -671.013       0.571
    -762.798      91.785    -671.013       0.572
    -762.907      91.893    -671.013       0.573
    -762.998      91.985    -671.013       0.573
    -763.072      92.059    -671.013       0.574
    -763.128      92.115    -671.013       0.574
    -763.167      92.154    -671.013       0.574
    -763.188      92.175    -671.013       0.574
    -763.192      92.179    -671.013       0.574
    -763.179      92.166    -671.013       0.574
    -763.149      92.137    -671.013       0.574
    -763.103      92.090    -671.013       0.574
    -763.041      92.028    -671.013       0.573
    -762.964      91.951    -671.012       0.573
    -762.873      91.860    -671.012       0.572
    -762.768      91.756    -671.012       0.572
    -762.652      91.640    -671.013       0.571
    -762.525      91.512    -671.013       0.570
    -762.387      91.375    -671.012       0.569
    -762.241      91.229    -671.012       0.568
    -762.087      91.075    -671.012       0.567
    -761.928      90.916    -671.012       0.566
    -761.763      90.751    -671.012       0.565
    -761.595      90.584    -671.012       0.564
    -761.425      90.414    -671.012       0.563
    -761.254      90.243    -671.011       0.562
    -761.085      90.073    -671.011       0.561
    -760.917      89.905    -671.011       0.560
    -760.752      89.741    -671.011       0.559
    -760.592      89.580    -671.011       0.558
    -760.437      89.425    -671.011       0.557
    -760.288      89.277    -671.011       0.556
    -760.147      89.135    -671.011       0.555
    -760.013      89.002    -671.011       0.555
    -759.888      88.877    -671.011       0.554
    -759.771      88.760    -671.011       0.553
    -759.664      88.653    -671.011       0.552
    -759.567      88.556    -671.011       0.552
    -759.478      88.467    -671.011       0.551
    -759.399      88.388    -671.011       0.551
    -759.330      88.319    -671.011       0.550
    -759.269      88.258    -671.011       0.550
    -759.218      88.207    -671.011       0.550
    -759.175      88.163    -671.011       0.549
    -759.140      88.128    -671.012       0.549
    -759.112      88.100    -671.012       0.549
    -759.091      88.080    -671.012       0.549
    -759.077      88.065    -671.012       0.549
    -759.067      88.055    -671.012       0.549
    -759.062      88.050    -671.012       0.549
    -759.059      88.047    -671.012       0.549
    -759.059      88.047    -671.012       0.549
    -759.060      88.048    -671.012       0.549
    -759.061      88.049    -671.012       0.549
    -759.061      88.049    -671.012       0.549
    -759.059      88.047    -671.012       0.549
    -759.054      88.041    -671.012       0.549
    -759.044      88.031    -671.012       0.548
    -759.029      88.016    -671.013       0.548
    -759.007      87.994    -671.013       0.548
    -758.977      87.965    -671.013       0.548
    -758.940      87.927    -671.013       0.548
    -758.893      87.880    -671.013       0.548
    -758.836      87.824    -671.013       0.547
    -758.770      87.757    -671.013       0.547
    -758.692      87.679    -671.013       0.546
    -758.603      87.590    -671.013       0.546
    -758.502      87.489    -671.013       0.545
    -758.388      87.375    -671.013       0.544
    -758.262      87.249    -671.013       0.544
    -758.123      87.110    -671.013       0.543
    -757.970      86.958    -671.012       0.542
    -757.803      86.791    -671.013       0.541
    -757.623      86.610    -671.013       0.540
    -757.428      86.416    -671.013       0.538
    -757.220      86.208    -671.013       0.537
    -756.999      85.986    -671.013       0.536
    -756.763      85.751    -671.013       0.534
    -756.515      85.502    -671.013       0.533
    -756.255      85.242    -671.013       0.531
    -755.982      84.969    -671.013       0.529
    -755.697      84.684    -671.013       0.528
    -755.399      84.386    -671.013       0.526
    -755.090      84.077    -671.013       0.524
    -754.769      83.756    -671.013       0.522
    -754.438      83.425    -671.013       0.520
    -754.096      83.083    -671.013       0.518
    -753.745      82.732    -671.013       0.515
    -753.385      82.372    -671.013       0.513
    -753.017      82.004    -671.013       0.511
    -752.640      81.627    -671.013       0.509
    -752.256      81.243    -671.013       0.506
    -751.866      80.854    -671.013       0.504
    -751.471      80.458    -671.013       0.501
    -751.070      80.057    -671.013       0.499
    -750.664      79.652    -671.013       0.496
    -750.256      79.243    -671.013       0.494
    -749.844      78.832    -671.012       0.491
    -749.432      78.420    -671.012       0.489
    -749.020      78.008    -671.012       0.486
    -748.608      77.596    -671.012       0.483
    -748.198      77.186    -671.012       0.481
    -747.790      76.778    -671.012       0.478
    -747.386      76.374    -671.012       0.476
    -746.985      75.973    -671.012       0.473
    -746.590      75.578    -671.012       0.471
    -746.201      75.190    -671.012       0.468
    -745.819      74.807    -671.012       0.466
    -745.444      74.432    -671.012       0.464
    -745.077      74.065    -671.012       0.461
    -744.717      73.705    -671.012       0.459
    -744.366      73.355    -671.012       0.457
    -744.024      73.012    -671.012       0.455
    -743.691      72.679    -671.012       0.453
    -743.366      72.354    -671.011       0.451
    -743.050      72.039    -671.012       0.449
    -742.743      71.732    -671.012       0.447
    -742.444      71.432    -671.012       0.445
    -742.153      71.141    -671.012       0.443
    -741.869      70.857    -671.012       0.441
    -741.592      70.580    -671.012       0.440
    -741.321      70.309    -671.012       0.438
    -741.056      70.044    -671.012       0.436
    -740.797      69.785    -671.012       0.435
    -740.543      69.531    -671.012       0.433
    -740.293      69.281    -671.012       0.432
    -740.048      69.036    -671.012       0.430
    -739.806      68.794    -671.012       0.429
    -739.568      68.556    -671.012       0.427
    -739.334      68.322    -671.012       0.426
    -739.104      68.092    -671.012       0.424
    -738.878      67.866    -671.012       0.423
    -738.657      67.645    -671.012       0.421
    -738.440      67.428    -671.012       0.420
    -738.228      67.216    -671.012       0.419
    -738.022      67.010    -671.012       0.418
    -737.823      66.811    -671.012       0.416
    -737.631      66.619    -671.012       0.415
    -737.448      66.436    -671.012       0.414
    -737.274      66.263    -671.011       0.413
    -737.112      66.101    -671.011       0.412
    -736.962      65.951    -671.011       0.411
    -736.826      65.815    -671.011       0.410
    -736.705      65.694    -671.011       0.409
    -736.600      65.589    -671.011       0.409
    -736.513      65.502    -671.011       0.408
    -736.446      65.435    -671.011       0.408
    -736.399      65.388    -671.011       0.407
    -736.374      65.364    -671.011       0.407
    -736.373      65.363    -671.010       0.407
    -736.397      65.387    -671.010       0.407
    -736.448      65.438    -671.010       0.408
    -736.525      65.516    -671.010       0.408
    -736.632      65.622    -671.010       0.409
    -736.767      65.757    -671.010       0.410
    -736.933      65.923    -671.010       0.411
    -737.130      66.120    -671.010       0.412
    -737.358      66.349    -671.010       0.413
    -737.619      66.610    -671.010       0.415
    -737.913      66.903    -671.010       0.417
    -738.240      67.231    -671.010       0.419
    -738.601      67.591    -671.010       0.421
    -738.994      67.985    -671.010       0.424
    -739.422      68.412    -671.010       0.426
    -739.883      68.873    -671.010       0.429
    -740.377      69.367    -671.010       0.432
    -740.904      69.894    -671.010       0.435
    -741.464      70.454    -671.010       0.439
    -742.055      71.045    -671.010       0.443
    -742.677      71.667    -671.010       0.447
    -743.328      72.318    -671.010       0.451
    -744.008      72.998    -671.010       0.455
    -744.714      73.704    -671.010       0.459
    -745.447      74.437    -671.010       0.464
    -746.203      75.193    -671.010       0.468
    -746.982      75.972    -671.010       0.473
    -747.781      76.770    -671.010       0.478
    -748.597      77.587    -671.011       0.483
    -749.430      78.419    -671.011       0.489
    -750.276      79.265    -671.011       0.494
    -751.133      80.123    -671.011       0.499
    -751.999      80.988    -671.011       0.505
    -752.871      81.860    -671.011       0.510
    -753.747      82.736    -671.011       0.515
    -754.625      83.613    -671.011       0.521
    -755.501      84.490    -671.012       0.526
    -756.373      85.362    -671.012       0.532
    -757.239      86.227    -671.012       0.537
    -758.096      87.084    -671.012       0.543
    -758.943      87.930    -671.012       0.548
    -759.775      88.763    -671.012       0.553
    -760.593      89.581    -671.012       0.558
    -761.393      90.381    -671.012       0.563
    -762.174      91.161    -671.012       0.568
    -762.933      91.920    -671.013       0.573
    -763.668      92.656    -671.013       0.577
    -764.379      93.367    -671.013       0.582
    -765.064      94.051    -671.013       0.586
    -765.721      94.709    -671.013       0.590
    -766.350      95.337    -671.013       0.594
    -766.948      95.935    -671.013       0.598
    -767.515      96.502    -671.013       0.601
    -768.052      97.038    -671.013       0.605
    -768.555      97.542    -671.013       0.608
    -769.027      98.014    -671.013       0.611
    -769.465      98.452    -671.013       0.613
    -769.870      98.857    -671.013       0.616
    -770.241      99.228    -671.014       0.618
    -770.578      99.565    -671.013       0.620
    -770.881      99.868    -671.014       0.622
    -771.149     100.135    -671.014       0.624
    -771.382     100.368    -671.014       0.625
    -771.581     100.567    -671.014       0.627
    -771.745     100.731    -671.014       0.628
    -771.874     100.861    -671.013       0.628
    -771.970     100.957    -671.013       0.629
    -772.031     101.018    -671.013       0.629
    -772.059     101.045    -671.013       0.630
    -772.053     101.039    -671.013       0.630
    -772.013     101.000    -671.013       0.629
    -771.941     100.928    -671.013       0.629
    -771.837     100.824    -671.013       0.628
    -771.700     100.687    -671.013       0.627
    -771.533     100.520    -671.013       0.626
    -771.334     100.321    -671.013       0.625
    -771.105     100.092    -671.013       0.624
    -770.846      99.833    -671.013       0.622
    -770.559      99.546    -671.013       0.620
    -770.244      99.231    -671.013       0.618
    -769.902      98.889    -671.013       0.616
    -769.534      98.521    -671.013       0.614
    -769.141      98.128    -671.013       0.611
    -768.725      97.712    -671.012       0.609
    -768.286      97.274    -671.012       0.606
    -767.827      96.815    -671.012       0.603
    -767.349      96.337    -671.012       0.600
    -766.852      95.840    -671.012       0.597
    -766.339      95.327    -671.012       0.594
    -765.809      94.797    -671.012       0.591
    -765.266      94.254    -671.012       0.587
    -764.709      93.697    -671.012       0.584
    -764.141      93.129    -671.012       0.580
    -763.564      92.552    -671.012       0.577
    -762.978      91.966    -671.012       0.573
    -762.386      91.374    -671.012       0.569
    -761.787      90.776    -671.012       0.566
    -761.185      90.174    -671.012       0.562
    -760.580      89.568    -671.012       0.558
    -759.972      88.960    -671.012       0.554
    -759.364      88.352    -671.012       0.550
    -758.757      87.746    -671.011       0.547
    -758.152      87.141    -671.011       0.543
    -757.550      86.539    -671.011       0.539
    -756.952      85.941    -671.011       0.535
    -756.359      85.348    -671.011       0.532
    -755.773      84.762    -671.011       0.528
    -755.194      84.184    -671.011       0.525
    -754.625      83.615    -671.011       0.521
    -754.066      83.056    -671.011       0.517
    -753.518      82.507    -671.011       0.514
    -752.981      81.971    -671.010       0.511
    -752.458      81.448    -671.010       0.507
    -751.950      80.940    -671.010       0.504
    -751.458      80.448    -671.010       0.501
    -750.982      79.972    -671.010       0.498
    -750.524      79.514    -671.010       0.495
    -750.085      79.075    -671.010       0.493
    -749.666      78.656    -671.010       0.490
    -749.268      78.259    -671.010       0.488
    -748.893      77.884    -671.010       0.485
    -748.542      77.533    -671.009       0.483
    -748.216      77.207    -671.009       0.481
    -747.917      76.907    -671.009       0.479
    -747.645      76.636    -671.009       0.477
    -747.402      76.393    -671.009       0.476
    -747.188      76.179    -671.009       0.475
    -747.006      75.997    -671.009       0.474
    -746.856      75.847    -671.009       0.473
    -746.739      75.730    -671.009       0.472
    -746.654      75.645    -671.009       0.471
    -746.604      75.595    -671.009       0.471
    -746.586      75.577    -671.009       0.471
    -746.603      75.594    -671.009       0.471
    -746.652      75.643    -671.009       0.471
    -746.735      75.726    -671.009       0.472
    -746.851      75.842    -671.009       0.473
    -746.998      75.989    -671.009       0.473
    -747.176      76.167    -671.009       0.475
    -747.383      76.374    -671.009       0.476
    -747.619      76.610    -671.009       0.477
    -747.881      76.872    -671.009       0.479
    -748.169      77.160    -671.009       0.481
    -748.480      77.471    -671.009       0.483
    -748.813      77.803    -671.009       0.485
    -749.164      78.155    -671.010       0.487
    -749.532      78.522    -671.010       0.489
    -749.913      78.903    -671.010       0.492
    -750.306      79.296    -671.010       0.494
    -750.709      79.698    -671.010       0.497
    -751.117      80.107    -671.010       0.499
    -751.529      80.519    -671.011       0.502
    -751.943      80.932    -671.011       0.504
    -752.355      81.344    -671.011       0.507
    -752.763      81.752    -671.011       0.509
    -753.165      82.154    -671.011       0.512
    -753.557      82.546    -671.011       0.514
    -753.939      82.927    -671.011       0.517
    -754.306      83.295    -671.011       0.519
    -754.658      83.646    -671.012       0.521
    -754.991      83.979    -671.012       0.523
    -755.304      84.292    -671.012       0.525
    -755.594      84.582    -671.012       0.527
    -755.862      84.850    -671.012       0.529
    -756.105      85.093    -671.012       0.530
    -756.321      85.309    -671.012       0.532
    -756.510      85.498    -671.013       0.533
