    -145.762      23.396    -122.366       0.503      64.695
    -145.841      23.475    -122.366       0.505      65.398
    -145.919      23.552    -122.366       0.507      65.992
    -145.994      23.628    -122.366       0.508      66.476
    -146.069      23.703    -122.367       0.510      66.846
    -146.143      23.776    -122.367       0.511      67.100
    -146.215      23.848    -122.367       0.513      67.238
    -146.284      23.918    -122.366       0.514      67.258
    -146.352      23.985    -122.366       0.516      67.160
    -146.417      24.051    -122.366       0.517      66.943
    -146.480      24.114    -122.366       0.519      66.610
    -146.541      24.175    -122.366       0.520      66.163
    -146.602      24.236    -122.366       0.521      65.602
    -146.661      24.295    -122.366       0.522      64.930
    -146.718      24.352    -122.366       0.524      64.150
    -146.776      24.408    -122.368       0.525      63.266
    -146.832      24.464    -122.368       0.526      62.283
    -146.886      24.519    -122.368       0.527      61.204
    -146.939      24.571    -122.367       0.528      60.035
    -146.990      24.622    -122.368       0.530      58.781
    -147.041      24.673    -122.369       0.531      57.448
    -147.091      24.722    -122.369       0.532      56.042
    -147.139      24.771    -122.368       0.533      54.569
    -147.187      24.818    -122.369       0.534      53.035
    -147.233      24.864    -122.369       0.535      51.445
    -147.276      24.907    -122.369       0.536      49.807
    -147.319      24.951    -122.369       0.537      48.126
    -147.363      24.994    -122.369       0.538      46.938
    -147.407      25.038    -122.369       0.538      45.597
    -147.450      25.081    -122.369       0.539      46.694
    -147.493      25.123    -122.370       0.540      47.731
    -147.533      25.164    -122.370       0.541      48.705
    -147.573      25.203    -122.370       0.542      49.612
    -147.613      25.243    -122.370       0.543      50.450
    -147.652      25.282    -122.370       0.544      51.216
    -147.690      25.320    -122.370       0.545      51.906
    -147.728      25.359    -122.370       0.545      52.519
    -147.767      25.397    -122.370       0.546      53.052
    -147.805      25.436    -122.370       0.547      53.094
    -147.849      25.478    -122.371       0.548      53.463
    -147.897      25.526    -122.371       0.549      53.749
    -147.948      25.577    -122.371       0.550      53.949
    -148.001      25.629    -122.371       0.551      54.065
    -148.054      25.685    -122.370       0.552      54.095
    -148.114      25.744    -122.369       0.554      54.040
    -148.176      25.806    -122.369       0.555      53.902
    -148.239      25.870    -122.369       0.556      53.680
    -148.305      25.936    -122.369       0.558      53.377
    -148.374      26.005    -122.369       0.559      52.995
    -148.445      26.076    -122.368       0.561      52.536
    -148.520      26.152    -122.368       0.562      52.004
    -148.598      26.230    -122.368       0.564      51.400
    -148.675      26.306    -122.368       0.566      50.729
    -148.750      26.382    -122.369       0.567      49.993
    -148.824      26.456    -122.369       0.569      49.197
    -148.896      26.527    -122.369       0.570      48.344
    -148.965      26.597    -122.369       0.572      47.439
    -149.033      26.665    -122.368       0.573      46.484
    -149.099      26.731    -122.368       0.575      47.178
    -149.163      26.795    -122.367       0.576      47.842
    -149.225      26.858    -122.367       0.578      48.591
    -149.286      26.918    -122.367       0.579      49.169
    -149.343      26.976    -122.367       0.580      49.698
    -149.397      27.030    -122.367       0.581      50.178
    -149.447      27.079    -122.367       0.582      50.604
    -149.494      27.126    -122.368       0.583      50.973
    -149.539      27.172    -122.367       0.584      51.283
    -149.582      27.215    -122.367       0.585      51.532
    -149.623      27.256    -122.367       0.586      51.719
    -149.662      27.295    -122.367       0.587      51.842
    -149.703      27.336    -122.366       0.588      51.897
    -149.750      27.382    -122.367       0.589      51.883
    -149.794      27.427    -122.367       0.590      51.797
    -149.835      27.468    -122.367       0.591      51.640
    -149.875      27.508    -122.367       0.592      51.408
    -149.915      27.548    -122.367       0.592      51.103
    -149.953      27.586    -122.367       0.593      50.722
    -149.988      27.621    -122.367       0.594      50.267
    -150.021      27.654    -122.367       0.595      49.736
    -150.052      27.686    -122.367       0.595      49.005
    -150.084      27.716    -122.367       0.596      48.326
    -150.114      27.747    -122.367       0.597      47.575
    -150.144      27.777    -122.366       0.597      46.752
    -150.174      27.807    -122.366       0.598      45.860
    -150.204      27.838    -122.366       0.599      44.901
    -150.236      27.871    -122.366       0.599      43.878
    -150.270      27.904    -122.366       0.600      42.792
    -150.306      27.941    -122.365       0.601      41.648
    -150.353      27.988    -122.365       0.602      40.450
